domain,street_address,suburb,state,postcode,source_confidence,source_note
atlassian.com,"Level 6, 341 George Street",Sydney,NSW,2000,High,ASIC registered office & global HQ (Atlassian Pty Ltd)
canva.com,110 Kippax Street,Surry Hills,NSW,2010,High,Global headquarters & primary engineering campus (Canva Pty Ltd)
wisetechglobal.com,"Unit 3a, 72 O'Riordan Street",Alexandria,NSW,2015,High,ASX-listed corporate HQ and registered office (WiseTech Global Limited)
safetyculture.com,72 Campbell Street,Surry Hills,NSW,2010,High,Global headquarters & tech campus (SafetyCulture Pty Ltd)
deputy.com,"Level 13, 580 George Street",Sydney,NSW,2000,High,Company headquarters & Sydney engineering office (Deputy Group Pty Ltd)
employmenthero.com,"Level 2, 435A-437 Kent Street",Sydney,NSW,2000,High,Headquarters & principal place of business (Employment Hero Pty Ltd)
siteminder.com,"Level 7, Suite 7.01, 155 Clarence Street",Sydney,NSW,2000,High,ASX-listed registered office & global HQ (SiteMinder Limited)
rokt.com,"Level 16, 300 Elizabeth Street",Surry Hills,NSW,2010,High,Australian engineering center & regional HQ (Rokt Pty Ltd)
immutable.com,"Level 18, 77 King Street",Sydney,NSW,2000,High,Corporate headquarters & engineering hub (Immutable Pty Ltd)
dovetail.com,276 Devonshire Street,Surry Hills,NSW,2010,High,Global headquarters & primary office (Dovetail Research Pty Ltd)
finder.com.au,"Level 10, 99 York Street",Sydney,NSW,2000,High,Company headquarters & product hub (Hive Empire Pty Ltd t/a Finder)
eucalyptus.vc,"Level 1, 155 Clarence Street",Sydney,NSW,2000,High,Australian corporate headquarters & product office (Eucalyptus Healthcare Pty Ltd)
tyro.com,"Level 1, 155 Clarence Street",Sydney,NSW,2000,High,ASX-listed registered office and tech headquarters (Tyro Payments Limited)
zip.co,"Level 7, 180 George Street",Sydney,NSW,2000,High,ASX-listed registered office & global HQ at Salesforce Tower (Zip Co Limited)
prospa.com,"Level 11, 55 Market Street",Sydney,NSW,2000,High,Corporate headquarters & principal place of business (Prospa Group)
morsemicro.com,"Level 8, 10-14 Waterloo Street",Surry Hills,NSW,2010,High,Global headquarters & deeptech lab (Morse Micro Pty Ltd)
harrison.ai,"Level P, 24 Campbell Street",Haymarket,NSW,2000,High,Corporate headquarters & clinical AI lab (Harrison AI Pty Ltd)
kasada.io,"Level 1, 52 Reservoir Street",Surry Hills,NSW,2010,High,Global headquarters & engineering center (Kasada Pty Ltd)
leonardo.ai,"Suite 1007, 120 High Street",North Sydney,NSW,2060,High,Registered office & engineering center (Leonardo Interactive Pty Ltd)
vowfood.com,6 Ralph Street,Alexandria,NSW,2015,High,Factory 1 production facility & headquarters (Vow Group Pty Ltd)
kinde.com,"Suite 2, Level 5, 6-10 O'Connell Street",Sydney,NSW,2000,Medium,Remote-first; using registered corporate business address (Kinde Australia Pty Ltd)
neara.com,7 Hudson Street,Redfern,NSW,2016,High,Global headquarters & software engineering hub (Neara / Line Data Systems Pty Ltd)
propeller.com,"Level 1, 35-39 Foster Street",Surry Hills,NSW,2010,High,Global engineering headquarters (Propeller Aero Pty Ltd)
covergenius.com,"Level 19, 45-53 Clarence Street",Sydney,NSW,2000,High,Global headquarters & tech hub (Cover Genius Pty Ltd)
honeyinsurance.com,7/27 Circular Quay West,The Rocks,NSW,2000,Medium,Corporate office & postal contact (Honey Insurance Pty Ltd)
