"name","domain","careers_url","city","reason","confidence","source_url","technology_rationale"
"Silanna Semiconductor","silanna.com","https://silanna.com/careers/","Brisbane","Advanced wide-bandgap semiconductor power architecture, gallium nitride ICs, and high-frequency power management, Brisbane QLD HQ","High","https://silanna.com/contact/","Advanced wide-bandgap semiconductor power architecture, gallium nitride ICs, and high-frequency power management"
"Infravision","infravision.com","https://infravision.com/careers","Sydney","Drone-enabled transmission powerline stringing robotics and aerial smart grid sensor systems, Sydney NSW HQ","High","https://infravision.com/contact","Drone-enabled transmission powerline stringing robotics and aerial smart grid sensor systems"
"HEO Robotics","heospace.com","https://www.heospace.com/careers","Sydney","Non-Earth imaging space camera payloads and in-orbit satellite monitoring analytics software, Sydney NSW HQ","High","https://www.heospace.com/contact","Non-Earth imaging space camera payloads and in-orbit satellite monitoring analytics software"
"Spiral Blue","spiralblue.space","https://www.spiralblue.space/careers","Sydney","Space edge computing microprocessors and AI Earth observation image processing hardware, Sydney NSW HQ","High","https://www.spiralblue.space/contact","Space edge computing microprocessors and AI Earth observation image processing hardware"
"Reach Robotics","reachrobotics.com","https://reachrobotics.com/careers/","Sydney","Advanced underwater robotic arms, subsea robotic manipulators, and harsh-environment actuators, Sydney NSW HQ","High","https://reachrobotics.com/contact/","Advanced underwater robotic arms, subsea robotic manipulators, and harsh-environment actuators"
"Carbonix","carbonix.com.au","https://carbonix.com.au/careers/","Sydney","Long-range autonomous commercial fixed-wing VTOL drones and aerial telemetry imaging platforms, Sydney NSW HQ","High","https://carbonix.com.au/contact/","Long-range autonomous commercial fixed-wing VTOL drones and aerial telemetry imaging platforms"
"Bluerydge","bluerydge.com","https://bluerydge.com/careers/","Canberra","Sovereign defense cyber intelligence, secure systems architecture, and autonomous network simulation, Canberra ACT HQ","High","https://bluerydge.com/contact-us/","Sovereign defense cyber intelligence, secure systems architecture, and autonomous network simulation"
"Advanced Mobility Analytics Group","amagroup.io","https://amagroup.io/careers/","Brisbane","Video analytics, predictive traffic conflict detection, and urban road safety intelligence SaaS, Brisbane QLD HQ","High","https://amagroup.io/contact/","Video analytics, predictive traffic conflict detection, and urban road safety intelligence SaaS"
"MicroTau","microtau.com.au","https://www.microtau.com.au/careers","Sydney","Direct contact UV photolithography printing micro-riblet drag reduction aerodynamic surfaces, Sydney NSW HQ","High","https://www.microtau.com.au/contact","Direct contact UV photolithography printing micro-riblet drag reduction aerodynamic surfaces"
"Andromeda Robotics","andromedarobotics.com","https://www.andromedarobotics.com/careers","Melbourne","Humanoid companion service robotics, affective computing, and expressive gesture AI algorithms, Melbourne VIC HQ","High","https://www.andromedarobotics.com/contact","Humanoid companion service robotics, affective computing, and expressive gesture AI algorithms"
"Nourish Ingredients","nourishingredients.com","https://nourishingredients.com/careers","Canberra","Precision microbial fermentation synthesizing tailored lipid profiles and specialty animal-free fats, Canberra ACT HQ","High","https://nourishingredients.com/contact","Precision microbial fermentation synthesizing tailored lipid profiles and specialty animal-free fats"
"C4i","c4i.com","https://c4i.com/careers/","Melbourne","Secure defence voice communication systems, VoIP dispatch consoles, and command-and-control interoperability, Melbourne VIC HQ","High","https://c4i.com/contact/","Secure defence voice communication systems, VoIP dispatch consoles, and command-and-control interoperability"
