"domain","street_address","suburb","state","postcode","source_confidence","source_note","source_url"
"campaignmonitor.com","Level 38, 201 Elizabeth Street","Sydney","NSW","2000","High","First-party email marketing software headquarters","https://www.campaignmonitor.com/contact/"
"reejig.com","Level 1, 60 Martin Place","Sydney","NSW","2000","High","First-party workforce intelligence software office","https://reejig.com/contact"
"relectrify.com","Unit 2, 21-23 Capella Crescent","Moorabbin","VIC","3189","High","First-party battery inverter engineering laboratory","https://relectrify.com/contact/"
"swoop.aero","100 Douglas Parade","Williamstown","VIC","3016","High","First-party autonomous drone engineering headquarters","https://swoop.aero/contact/"
"tiliter.com","Suite 201, 80 Clarence Street","Sydney","NSW","2000","High","First-party computer vision AI laboratory","https://www.tiliter.com/contact"
"tixel.com","Level 1, 10-12 Gwynne Street","Cremorne","VIC","3121","High","First-party ticketing technology headquarters","https://tixel.com/contact"
"wiise.com","Level 15, 100 Mount Street","North Sydney","NSW","2060","High","First-party ERP software development centre","https://www.wiise.com/contact-us"
"selfwealth.com.au","Level 7, 130 Lonsdale Street","Melbourne","VIC","3000","High","First-party retail wealthtech headquarters","https://www.selfwealth.com.au/contact-us/"
"spaceship.com.au","Level 6, 175 Pitt Street","Sydney","NSW","2000","High","First-party micro-investing fintech office","https://www.spaceship.com.au/contact/"
"stockspot.com.au","Level 6, 17-19 Bridge Street","Sydney","NSW","2000","High","First-party automated robo-advice wealth management office","https://www.stockspot.com.au/contact/"
"tictoc.com.au","Level 3, 45 Pirie Street","Adelaide","SA","5000","High","First-party automated lending fintech headquarters","https://tictoc.com.au/contact-us"
"startmate.com","Level 2, 11-17 York Street","Sydney","NSW","2000","High","First-party startup accelerator community headquarters","https://www.startmate.com/contact"
"phocassoftware.com","Level 2, 57 Carrington Road","Wahroonga","NSW","2076","High","First-party business planning and analytics SaaS headquarters","https://www.phocassoftware.com/contact-us"
"prospection.com","Suite 1, Level 4, 154 Pacific Highway","St Leonards","NSW","2065","High","First-party healthcare predictive analytics headquarters","https://www.prospection.com/contact/"
"localagentfinder.com.au","Level 2, 407 Swan Street","Richmond","VIC","3121","High","First-party proptech comparison platform headquarters","https://www.localagentfinder.com.au/contact-us/"
"hnry.com.au","Level 7, 285 George Street","Sydney","NSW","2000","High","First-party tax automation SaaS development office","https://hnry.com.au/contact/"
"ipscape.com","Level 11, 213 Miller Street","North Sydney","NSW","2060","High","First-party cloud communication software headquarters","https://ipscape.com/contact-us/"
"lumi.com.au","Level 7, 19 Martin Place","Sydney","NSW","2000","High","First-party SME lending platform headquarters","https://www.lumi.com.au/contact/"
"nookal.com","Level 1, 137 The Terrace","Ocean Grove","VIC","3226","High","First-party clinic management SaaS headquarters","https://www.nookal.com/contact"
"moshtix.com.au","Level 2, 66 Wentworth Avenue","Surry Hills","NSW","2010","High","First-party event ticketing software headquarters","https://www.moshtix.com.au/v2/contact-us"
"muru-d.com","Level 1, 372 Pitt Street","Sydney","NSW","2000","High","First-party startup incubator facility","https://muru-d.com/contact/"
"atmail.com","Unit 2, 70-74 Monash Road","Tarragindi","QLD","4121","High","First-party email security and platform engineering office","https://atmail.com/contact/"
"coassemble.com","Level 1, 109 King Street","Newcastle","NSW","2300","High","First-party online training platform headquarters","https://coassemble.com/contact/"
"cohortgo.com","Level 4, 300 Ann Street","Brisbane","QLD","4000","High","First-party international education payments software office","https://cohortgo.com/contact"
"spectur.com.au","12 Northrop Road","Hillarys","WA","6025","High","First-party solar camera IoT hardware headquarters","https://spectur.com.au/contact-us/"
"techboard.com.au","Level 1, 100 Havelock Street","West Perth","WA","6005","High","First-party startup data platform headquarters","https://techboard.com.au/contact/"
"talentvine.com.au","Level 1, 154 Melbourne Street","South Brisbane","QLD","4101","High","First-party recruitment marketplace software office","https://talentvine.com.au/contact/"
"ticketbooth.com.au","Suite 202, 59-75 Grafton Street","Bondi Junction","NSW","2022","High","First-party event ticketing software office","https://www.ticketbooth.com.au/contact/"
"iselect.com.au","294 Bay Road","Cheltenham","VIC","3192","High","First-party comparison engine corporate headquarters","https://www.iselect.com.au/contact-us/"
"dataro.io","Suite 401, 17-19 Bridge Street","Sydney","NSW","2000","High","First-party fundraising AI technology office","https://dataro.io/contact/"
"bugwolf.com","Level 3, 530 Collins Street","Melbourne","VIC","3000","High","First-party testing and cyber bounty platform office","https://bugwolf.com/contact/"
"proda.ai","Level 19, 60 Martin Place","Sydney","NSW","2000","High","First-party real estate rent roll AI office","https://proda.ai/contact/"
"xemplo.com","Level 12, 100 Walker Street","North Sydney","NSW","2060","High","First-party workforce compliance SaaS office","https://xemplo.com/contact/"
"fyfe.com.au","Level 2, 114 Waymouth Street","Adelaide","SA","5000","High","First-party spatial infrastructure survey headquarters","https://fyfe.com.au/contact-us/"
"barcats.com.au","Level 1, 41-43 Stewart Street","Richmond","VIC","3121","High","First-party hospitality staffing technology office","https://barcats.com.au/contact-us/"
"kodacapital.com","Level 16, 1 Farrer Place","Sydney","NSW","2000","High","First-party wealthtech advisory platform headquarters","https://kodacapital.com/contact-us/"
"meld.gold","Level 12, 10 Eagle Street","Brisbane","QLD","4000","High","First-party precious metal asset tokenization platform office","https://meld.gold/contact/"
"modibodi.com","Level 3, 100 Harris Street","Pyrmont","NSW","2009","High","First-party technical textile e-commerce headquarters","https://www.modibodi.com/pages/contact-us"
"choosi.com.au","113-119 Dunheved Road","St Marys","NSW","2760","High","First-party insurance comparison technology office","https://www.choosi.com.au/contact-us/"
"resi.com.au","Level 14, 130 Pitt Street","Sydney","NSW","2000","High","First-party mortgage fintech development office","https://resi.com.au/contact-us/"
"covermore.com.au","Level 2, 410 Church Street","North Parramatta","NSW","2151","High","First-party travel insurance technology headquarters","https://www.covermore.com.au/contact-us"
