"name","domain","careers_url","city","reason","confidence"
"Atlassian","atlassian.com","https://www.atlassian.com/company/careers","Sydney","Global collaboration software giant (Jira, Confluence), founded in Sydney with major local R&D","High"
"Canva","canva.com","https://www.canva.com/careers/","Sydney","Global visual communication and graphic design platform, Sydney HQ with 1,000+ local engineers and designers","High"
"WiseTech Global","wisetechglobal.com","https://www.wisetechglobal.com/careers/","Sydney","Global logistics execution SaaS (CargoWise), ASX-listed tech anchor headquartered in Alexandria","High"
"SafetyCulture","safetyculture.com","https://safetyculture.com/careers/","Sydney","Workplace operations, safety inspection, and sensor IoT platform, Sydney HQ with tech hub in Townsville","High"
"Deputy","deputy.com","https://www.deputy.com/careers","Sydney","Global workforce management, employee scheduling, and timesheet SaaS scale-up, Sydney HQ","High"
"Employment Hero","employmenthero.com","https://employmenthero.com/careers/","Sydney","Automated HR, payroll, and benefits unicorn, large engineering team based in Sydney","High"
"SiteMinder","siteminder.com","https://www.siteminder.com/careers/","Sydney","Hotel commerce and channel management software, ASX-listed in Millers Point/Sydney","High"
"Rokt","rokt.com","https://www.rokt.com/careers/","Sydney","E-commerce transaction-moment marketing technology scale-up, founded in Sydney with local engineering","High"
"Immutable","immutable.com","https://www.immutable.com/careers","Sydney","Web3 gaming platform and Ethereum Layer-2 scaling infrastructure scale-up, Sydney HQ","High"
"Dovetail","dovetail.com","https://dovetail.com/careers/","Sydney","Customer research analysis and user insights repository SaaS, founded and engineered in Sydney","High"
"Finder","finder.com.au","https://www.finder.com.au/careers","Sydney","Fintech comparison and personal finance management platform, Sydney product & engineering center","High"
"Eucalyptus","eucalyptus.vc","https://eucalyptus.vc/careers","Sydney","Digital healthcare and telehealth brand builder with dedicated in-house product and software engineering","High"
"Tyro Payments","tyro.com","https://www.tyro.com/careers/","Sydney","Cloud EFTPOS payments and business banking fintech, ASX-listed with Sydney tech hub","High"
"Zip Co","zip.co","https://zip.co/careers","Sydney","Digital retail finance and payments platform, ASX-listed with Sydney engineering center","High"
"Prospa","prospa.com","https://www.prospa.com/careers","Sydney","Digital small business lending platform and cash flow software, Sydney HQ","High"
"Morse Micro","morsemicro.com","https://www.morsemicro.com/careers/","Sydney","Fabless semiconductor and Wi-Fi HaLow IoT microchip developer, Surry Hills deeptech HQ","High"
"Harrison.ai","harrison.ai","https://harrison.ai/careers/","Sydney","Clinical healthcare artificial intelligence and medical imaging diagnostics scale-up, Sydney","High"
"Kasada","kasada.io","https://www.kasada.io/careers/","Sydney","Cybersecurity and malicious bot mitigation SaaS platform, Sydney engineering center","High"
"Leonardo.ai","leonardo.ai","https://leonardo.ai/careers/","Sydney","Generative AI creative suite, Sydney-based and acquired by Canva with dedicated local team","High"
"Vow","vowfood.com","https://www.vowfood.com/careers","Sydney","Cellular agriculture and computational biology food tech pioneer, Alexandria/Sydney","High"
