name,domain,careers_url,city,reason,confidence,source_url,technology_rationale
Devicie,devicie.com,https://devicie.com/careers,Sydney,"Automated end-user device cybersecurity compliance and Essential Eight endpoint configuration SaaS, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://devicie.com,"Intune Device Management That Scales | Devicie Devicie helps IT teams scale secure device management across applications, patching, compliance, and fleet health, with automation built for Microsoft environments."
Precision Agriculture Australia,precisionagriculture.com.au,https://precisionagriculture.com.au/careers,Orange,"Soil mapping, variable rate prescription algorithms, and spatial farm yield analytics, Orange NSW HQ",Medium - first-party homepage metadata captured,https://precisionag.earth/,Precision Ag Australia's leading provider of variable rate farming solutions
Farmdeck,farmdeck.com,https://farmdeck.com/careers,Orange,"All-in-one IoT farm management sensors, water monitoring telemetry, and edge connectivity gateway, Orange NSW HQ",Medium - first-party homepage metadata captured,https://www.farmdeck.com:443/,Farmdeck: Revolutionizing Farm Management Today Manage your farm effortlessly with Farmdeck. Our advanced technology helps farmers monitor water levels and livestock effectively.
Kurrajong Tech,kurrajong.com.au,https://kurrajong.com.au/careers,Wagga Wagga,"Regional workforce disability assistive software and adaptive mobility computing solutions, Wagga Wagga NSW HQ",Medium - first-party homepage metadata captured,https://www.kurrajong.com.au/,"Disability Services, NDIS and Supported Employment Registered NDIS provider Kurrajong has helped people with disability live a life of their choice for over 60 years in Wagga Wagga."
AgriFutures Australia Tech,agrifutures.com.au,https://agrifutures.com.au/careers,Wagga Wagga,"National rural research commercialisation portal, agrifood tech venture tracking, and innovation data exchange, Wagga Wagga NSW HQ",Medium - first-party homepage metadata captured,https://agrifutures.com.au,"AgriFutures Australia | Our vision is to grow the long-term prosperity of Australian rural industries. AgriFutures Australia invests in research, innovation and leadership to grow the long-term prosperity of Australian rural industries."
Flow Hive Tech,honeyflow.com.au,https://honeyflow.com.au/careers,Byron Bay,"Patented split-comb honey extraction harvesting systems and apiary IoT hive telemetry, Byron Bay NSW HQ",Medium - first-party homepage metadata captured,https://www.honeyflow.com.au/,"Honey Straight From The Beehive | Australian Made & Invented Flow is a revolutionary beehive invention, allowing you to harvest honey without opening the hive and with minimal disturbance to the bees."
Precision Pastures,precisionpastures.com.au,https://precisionpastures.com.au/careers,Armidale,"Soil carbon baseline measurement, satellite pasture productivity models, and carbon farming SaaS, Armidale NSW HQ",Medium - first-party homepage metadata captured,https://www.precisionpastures.com.au/,Precision Pastures — Measured. Trusted. Productive. Precision Pastures is Australia's only full-service soil carbon provider incorporating agronomy services. From soil sampling and pasture management to ACCU project registration — we're with you every step of the way.
BeefLedger,beefledger.io,https://beefledger.io/careers,Tamworth,"Food provenance blockchain verification, livestock supply chain credentialing, and smart packaging telemetry, Tamworth NSW HQ",Medium - first-party homepage metadata captured,https://beefledger.io,"Transforming Food Supply Chains – The Blockchain Way See how blockchain is making the food industry transparent and sustainable, improving traceability and ensuring better practices from production to delivery."
Agile Digital,agiledigital.com.au,https://agiledigital.com.au/careers,Canberra,"Enterprise software engineering, distributed systems integration, and sovereign public-sector digital platforms, Canberra ACT HQ",Medium - first-party homepage metadata captured,https://agiledigital.com.au,Agile Digital - Digital Strategy & Enterprise Software Development Inspired digital strategy and software development. Partner with award-winning product & platform engineers to create your brightest future 🚀
Noetic Group Tech,noeticgroup.com,https://noeticgroup.com/careers,Canberra,"Defence simulation, operational analysis modelling, and strategic decision systems architecture, Canberra ACT HQ",Medium - first-party homepage metadata captured,https://atturra.com/au-en/solutions/advisory-consulting/,Advisory & Consulting - Atturra AU Atturra advisory and consulting services help organisations define strategy and deliver successful digital transformation programs.
CEA Technologies,cea.com.au,https://cea.com.au/careers,Canberra,"Active phased-array radar electronics, missile defense sensor arrays, and RF beamforming radar computing, Fyshwick ACT HQ",Medium - first-party homepage metadata captured,https://www.cea.com.au/,"CEA Technologies was established in 1983 by two former Naval Officers
          with a goal of creating a centre of excellence for the design and
support of systems for the Australian Defence Force."
Koala Tech,koala.com,https://koala.com/au/careers,Sydney,"Direct-to-consumer e-commerce architecture, furniture supply-chain digital twin, and modular industrial design, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://au.koala.com/,"Koala Sofas, Mattresses & Furniture | Koala® Award-winning Koala sofas, mattresses and furniture with fast Australia-wide delivery, 120-day trial, easy returns and sustainably made designs."
Forter Australia,forter.com,https://www.forter.com/careers,Sydney,"Real-time e-commerce fraud prevention AI, identity graph transaction authentication, and abuse mitigation algorithms, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.forter.com/,"Forter – Agentic Intelligence you can trust AI powered fraud, abuse, and payment decisions — so your best customers feel less friction, and you leave no revenue behind."
Outpost Central,outpostcentral.com,https://outpostcentral.com/careers,Newcastle,"Low-power cellular telemetry data loggers, municipal water grid monitoring, and smart meter IoT software, Newcastle NSW HQ",Medium - first-party homepage metadata captured,https://outpostcentral.com,Outpost Central |  Smart Water Meters | Environmental Monitoring
Fologram,fologram.com,https://fologram.com/careers,Melbourne,"Mixed reality computer vision and holographic fabrication software for industrial construction, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://fologram.com,Fologram Fologram Mixed reality for architecture and construction
Bendigo Telco Tech,bendigotelco.com.au,https://www.bendigotelco.com.au/careers,Bendigo,"Community-owned regional telecommunications infrastructure, sovereign cloud hosting, and enterprise SD-WAN orchestration, Bendigo VIC HQ",Medium - first-party homepage metadata captured,https://bendigotelco.com.au,"Bendigo Telco | Your Trusted, Community-focused Technology Partner From reliable IT Managed Services and advanced cloud solutions to secure mobile and internet plans, we deliver the expertise and support you need to stay connected and thrive, with a customer-first approach that drives positive community impact."
Moula Money,moula.com.au,https://moula.com.au/careers,Melbourne,"Algorithmic SME business lending underwriting, cash-flow machine learning credit scoring, and merchant financing rails, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://moula.com.au,"Business Loans | Easily Apply Online for Your Business | Moula Business loans from Moula are a better way to grow your business. Apply online for up to $500,000. Once approved, get funding in 24 hours."
Pepperstone,pepperstone.com,https://pepperstone.com/en-au/company/careers,Melbourne,"Multi-asset FX and CFD electronic trading platform, ultra-low latency execution infrastructure, and market liquidity APIs, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://pepperstone.com/en-au,"Australia's leading online forex and CFD broker | Pepperstone Australia's leading online forex and CFD broker. Trade global markets with tight spreads, fast execution and platforms like MT4, MT5 and TradingView."
Sportsbet Tech,sportsbet.com.au,https://careers.sportsbet.com.au,Melbourne,"High-throughput sports wagering engines, microservices cloud infrastructure, and real-time live event risk management, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.sportsbet.com.au/,"Best Online Horse Racing and Sports Betting | Sportsbet Bet on horse racing, AFL, rugby and other events with Sportsbet. Download the App & Get Access to Tons of Great Betting Features."
Openpay Tech,openpay.com.au,https://www.openpay.com.au/careers,Melbourne,"Structured B2B commercial payments, healthcare point-of-sale financing plans, and merchant merchant integration APIs, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://pay.com.au/,"Be Rewarded for Business Payments | pay.com.au Earn credit card points on any business payment. ATO, suppliers, rent, super - pay by card when you usually can't. Expert advice and concierge service."
TradeSquare,tradesquare.com.au,https://www.tradesquare.com.au/careers,Melbourne,"B2B wholesale marketplace, verified business vendor catalogs, and trade credit automated checkout rails, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.tradesquare.com.au/,SLOT777: Login Resmi Slot Gacor 777 Jackpot Maxwin Gampang Menang Indonesia Slot777 adalah rekomendasi login resmi situs slot gacor 777 jackpot maxwin paling gampang menang hari ini di Indonesia.
