name,domain,city,harvest_status,source_url,http_status,page_title,meta_description,diagnostic,next_action
Phocas Software,phocassoftware.com,Melbourne,metadata_captured_needs_human_assessment,https://www.phocassoftware.com/,200,Phocas Software | Business Intelligence & Financial Analysis Software Phocas Software,"FP&A tools that combines BI, Financial Reporting, Planning, Budgeting & Forecasting. Understand the past, operate better today, and plan for the future.",,Assess this primary-source metadata before creating a seed fixture.
Splend,splend.com,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Ipscape,ipscape.com,Sydney,metadata_captured_needs_human_assessment,https://ipscape.com,200,Australia's Leading Cloud Contact Centre Solution | IPscape,"Elevate customer experiences with SCAPE. Discover our AI omni-channel contact centre solution, with seamless integrations capabilities.",,Assess this primary-source metadata before creating a seed fixture.
Reejig,reejig.com,Sydney,metadata_captured_needs_human_assessment,https://www.reejig.com/,200,The Work Operating System for AI-powered work | Reejig,"The Work Operating System for AI-powered work. See how work runs, build AI workflows, orchestrate agents, and drive adoption at enterprise scale. Book a demo.",,Assess this primary-source metadata before creating a seed fixture.
Simply Wall St,simplywall.st,Sydney,reachable_but_metadata_unavailable,https://simplywall.st,403,,,HTTP 403,Find an authoritative company source before creating a seed fixture.
Transurban Digital,transurban.com,Melbourne,metadata_captured_needs_human_assessment,https://www.transurban.com/,200,"Transurban: Be the link between people, places and progress","As one of the world’s largest toll-road operators, everything we do works to get people where they want to go, as quickly and safely as possible – from designing and building new roads to researching new vehicle and road safety technology.",,Assess this primary-source metadata before creating a seed fixture.
Credabl,credabl.com.au,Sydney,metadata_captured_needs_human_assessment,https://www.credabl.com.au/,200,"Specialist Loans for Doctors, Dentists & Vets | Credabl","Looking for a business loan, medical practice funding or a personal loan? Credabl, a specialist lender providing quick and easy loans for medical professionals.",,Assess this primary-source metadata before creating a seed fixture.
Nookal,nookal.com,Brisbane,metadata_captured_needs_human_assessment,https://www.nookal.com/,200,Nookal - Practice Management Software for Allied Health Clinics,"Practice management software to help practitioners manage appointments and bookings in their diary, patient clinical data and measure business performance.",,Assess this primary-source metadata before creating a seed fixture.
Planit Testing,planittesting.com,Melbourne,metadata_captured_needs_human_assessment,https://www.planit.com/,200,Software Testing & Quality Engineering Services - Planit,"Our solutions don’t just fix problems—they shatter limits, redefining what’s possible in digital transformation through the unstoppable force of quality",,Assess this primary-source metadata before creating a seed fixture.
CEVO,cevo.com.au,Melbourne,metadata_captured_needs_human_assessment,https://cevo.com.au,200,"AWS Premier Consulting Partner for AI, Data & Cloud | Cevo","Build the capability to continuously evolve with AI, data and cloud solutions from AWS Premier Partner Cevo.",,Assess this primary-source metadata before creating a seed fixture.
Bugwolf,bugwolf.com,Adelaide,metadata_captured_needs_human_assessment,https://bugwolf.com,200,Enterprise UAT Testing Services for Confident Go-Lives | Bugwolf,"Independent user acceptance testing for enterprise software. Bugwolf validates real business workflows, finds release risk, and delivers evidence for go-live.",,Assess this primary-source metadata before creating a seed fixture.
Liven,liven.gg,Melbourne,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Doshii,doshii.com.au,Melbourne,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Biarri Networks,biarri.com,Melbourne,metadata_captured_needs_human_assessment,https://biarri.com,200,Biarri,"LEARN MORE → We bring unmatched efficiency to your operational planning, scheduling and rostering through our bespoke optimisation software.",,Assess this primary-source metadata before creating a seed fixture.
Athena Home Loans,athenahomeloan.com.au,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Spaceship,spaceship.com.au,Sydney,metadata_captured_needs_human_assessment,https://www.spaceship.com.au:443/,200,"Spaceship — Investing, made easy, for everyone",Join thousands of Australians investing in their future with Spaceship. Grow your wealth with our investment and super accounts. Start in five minutes.,,Assess this primary-source metadata before creating a seed fixture.
Squiz,squiz.net,Sydney,reachable_but_metadata_unavailable,https://www.squiz.net/,403,,,HTTP 403,Find an authoritative company source before creating a seed fixture.
Coles Digital,colesgroup.com.au,Melbourne,metadata_captured_needs_human_assessment,https://www.colesgroup.com.au/home/,200,"Coles Group | A trusted retailer, delivering quality value and service",,,Assess this primary-source metadata before creating a seed fixture.
Latent Space,latentspace.com.au,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Tella,tella.tv,Melbourne,metadata_captured_needs_human_assessment,https://www.tella.com/,200,"Tella | All-in-One Screen Recorder for Mac, Windows & Chrome","Tella is screen recording software for Mac, Windows, and the web. Record your screen, camera, microphone, and system audio, edit with AI, then share or export in up to 4K.",,Assess this primary-source metadata before creating a seed fixture.
Sighthound AU,sighthound.com,Melbourne,metadata_captured_needs_human_assessment,https://www.sighthound.com/,200,"AI Redaction, LPR & Edge Compute Hardware | Sighthound","Sighthound uses advanced computer vision to build AI redaction software, license plate recognition, vehicle analytics, and edge-ready compute hardware for law enforcement, smart surveillance, and enterprise video privacy.",,Assess this primary-source metadata before creating a seed fixture.
Thinkmill,thinkmill.com.au,Sydney,metadata_captured_needs_human_assessment,https://www.thinkmill.com.au/,200,"Thinkmill – Software design & engineering consultancy, Sydney Thinkmill logo Infinex Logo",Thinkmill is a Sydney-based software design and engineering consultancy. We build design systems for Atlassian and the Australian Government; we’re the creators of Keystone and Changesets.,,Assess this primary-source metadata before creating a seed fixture.
Eliiza,eliiza.com,Melbourne,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Swoop Aero,swoop.aero,Melbourne,metadata_captured_needs_human_assessment,https://kite.aero/,200,Autonomous BVLOS Drones for Logistics | Kite Aero,"Kite Aero builds KITE, the long-range autonomous drone for BVLOS operations. Proven capability for medical, humanitarian and mapping missions, powered by AXIOM.",,Assess this primary-source metadata before creating a seed fixture.
Tiliter,tiliter.com,Sydney,metadata_captured_needs_human_assessment,https://www.tiliter.com/,200,AI Image Verification Workflows | Tiliter,"Build AI verification workflows with Tiliter Vision Agents: assign checks, capture photo evidence on web or mobile, and verify every submission.",,Assess this primary-source metadata before creating a seed fixture.
Tanka,tanka.ai,Melbourne,metadata_captured_needs_human_assessment,https://www.tanka.ai/,200,Tanka | The Operating Base for AI-Native Companies,Tanka is the operating base for the AI-Native era. We strip away the long narrative of execution to preserve the high-density signature of human intent within a sea of automation.,,Assess this primary-source metadata before creating a seed fixture.
Oculo,oculo.com.au,Melbourne,metadata_captured_needs_human_assessment,https://www.oculo.com.au/,200,iCare OCULO,,,Assess this primary-source metadata before creating a seed fixture.
SunSHIFT,sunshift.com.au,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Konnective,konnective.com.au,Brisbane,metadata_captured_needs_human_assessment,https://konnective.com.au,200,Konnective,,,Assess this primary-source metadata before creating a seed fixture.
FYI App,fyiapp.com.au,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Ektus,ektus.com.au,Adelaide,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Hypr,hypr.com.au,Melbourne,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Lumi Nova AU,luminova.com.au,Brisbane,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Elantec,elantec.com.au,Darwin,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Locofy,locofyai.com,Perth,metadata_captured_needs_human_assessment,https://locofyai.com,200,Defining Future Brands | WE.DOMAINS,Premium domain acquisition opportunity via WE.DOMAINS.,,Assess this primary-source metadata before creating a seed fixture.
Pelikin,pelikin.com.au,Brisbane,reachable_but_metadata_unavailable,https://pelikin.com.au,200,,,,Find an authoritative company source before creating a seed fixture.
Streamotion,streamotion.com.au,Melbourne,reachable_but_metadata_unavailable,https://kayosports.com.au/,200,,,,Find an authoritative company source before creating a seed fixture.
Gridcognition,gridcognition.com,Melbourne,reachable_but_metadata_unavailable,https://gridcognition.com,525,,,HTTP 525,Find an authoritative company source before creating a seed fixture.
