name,domain,careers_url,city,reason,confidence
Canstar,canstar.com.au,https://canstar.com.au/careers,Brisbane,"Financial product comparison marketplace and consumer-facing ratings engine, Brisbane QLD HQ",High
Marketplacer,marketplacer.com,https://marketplacer.com/careers,Melbourne,"White-label online marketplace and dropship commerce platform, Melbourne VIC HQ",High
PropTrack,proptrack.com.au,https://proptrack.com.au/careers,Melbourne,"Automated valuation models and property data analytics owned by REA Group, Melbourne VIC HQ",High
Butn,butn.com.au,https://butn.com.au/careers,Sydney,"Invoice financing and embedded lending platform for SME cash flow, Sydney NSW HQ",High
Hivery,hivery.com,https://hivery.com/careers,Sydney,"Retail space and assortment optimisation AI for CPG and category planning, Sydney NSW HQ",High
Euclideon,euclideon.com,https://euclideon.com/careers,Brisbane,"Unlimited detail 3D point-cloud rendering engine for GIS and simulation, Brisbane QLD HQ",High
Tether,tether.io,https://tether.io/careers,Sydney,"IoT asset tracking and cold-chain monitoring for logistics and healthcare, Sydney NSW HQ",High
Tillpoint,tillpoint.com,https://tillpoint.com/careers,Sydney,"Cloud EPOS and inventory management for hospitality and retail, Sydney NSW HQ",High
FlexiGroup,flexigroup.com.au,https://flexigroup.com.au/careers,Sydney,"Buy-now-pay-later and lease-to-own consumer finance across ANZ, Sydney NSW HQ",High
Greener,greener.com.au,https://greener.com.au/careers,Brisbane,"Residential solar and battery installation marketplace with instant quoting, Brisbane QLD HQ",High
Raygun,raygun.com,https://raygun.com/careers,Wellington,"Application performance monitoring and crash reporting SaaS, Sydney NSW AU office",High
Creditor Watch,creditorwatch.com.au,https://creditorwatch.com.au/careers,Sydney,"Commercial credit bureau and trade-credit risk scoring for Australian businesses, Sydney NSW HQ",High
Joust,joust.com.au,https://joust.com.au/careers,Adelaide,"Reverse-auction home loan marketplace matching borrowers with bank offers, Adelaide SA HQ",High
Intellicheck,intellicheck.com.au,https://intellicheck.com.au/careers,Melbourne,"AI-powered identity verification and document authentication for financial services, Melbourne VIC HQ",High
Assembly Payments,assemblypayments.com,https://assemblypayments.com/careers,Melbourne,"Embedded payments and multi-party escrow platform for platform businesses, Melbourne VIC HQ",High
Octane AI,octaneai.com,https://octaneai.com/careers,Sydney,"Conversational quiz and product-recommendation engine for e-commerce brands, Sydney NSW AU office",High
Propeller Aero,propelleraero.com,https://propelleraero.com/careers,Sydney,"Drone-survey analytics and site-progress visualisation for earthworks, Sydney NSW HQ",High
Nura,nura.com,https://nura.com/careers,Melbourne,"Personalised hearing-profile headphones using otoacoustic emission sensing, Melbourne VIC HQ",High
Judo Bank,judo.bank,https://judo.bank/careers,Melbourne,"Challenger business bank focused on SME relationship lending and term deposits, Melbourne VIC HQ",High
Hatch,hatch.team,https://hatch.team/careers,Melbourne,"Video-first graduate recruitment platform with structured capability screening, Melbourne VIC HQ",High
Partly,partly.com,https://partly.com/careers,Sydney,"Automotive parts marketplace with AI-powered fitment matching and VIN search, Sydney NSW HQ",High
Neighbourlytics,neighbourlytics.com,https://neighbourlytics.com/careers,Melbourne,"Urban analytics using social data to measure neighbourhood vitality for planners, Melbourne VIC HQ",High
AutoGuru,autoguru.com.au,https://autoguru.com.au/careers,Brisbane,"Online car servicing and repair marketplace for transparent upfront pricing, Brisbane QLD HQ",High
Skyfii,skyfii.com,https://skyfii.com/careers,Sydney,"Venue analytics platform using WiFi and sensor data for retail and airports, Sydney NSW HQ",High
Rezdy,rezdy.com,https://rezdy.com/careers,Sydney,"Tours and activities online booking and channel distribution platform, Sydney NSW HQ",High
