name,domain,city,reachability_status,http_status,final_url,diagnostic,next_action
Phocas Software,phocassoftware.com,Melbourne,reachable_needs_primary_evidence,200,https://www.phocassoftware.com/,,"Record first-party company, technology, and street-address evidence."
Splend,splend.com,Sydney,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Ipscape,ipscape.com,Sydney,reachable_needs_primary_evidence,200,https://ipscape.com,,"Record first-party company, technology, and street-address evidence."
Reejig,reejig.com,Sydney,reachable_needs_primary_evidence,200,https://www.reejig.com/,,"Record first-party company, technology, and street-address evidence."
Simply Wall St,simplywall.st,Sydney,reachable_needs_primary_evidence,403,https://simplywall.st,HTTP 403,"Record first-party company, technology, and street-address evidence."
Transurban Digital,transurban.com,Melbourne,reachable_needs_primary_evidence,200,https://www.transurban.com/,,"Record first-party company, technology, and street-address evidence."
Credabl,credabl.com.au,Sydney,reachable_needs_primary_evidence,200,https://www.credabl.com.au/,,"Record first-party company, technology, and street-address evidence."
Nookal,nookal.com,Brisbane,reachable_needs_primary_evidence,200,https://www.nookal.com/,,"Record first-party company, technology, and street-address evidence."
Planit Testing,planittesting.com,Melbourne,reachable_needs_primary_evidence,200,https://www.planit.com/,,"Record first-party company, technology, and street-address evidence."
CEVO,cevo.com.au,Melbourne,reachable_needs_primary_evidence,200,https://cevo.com.au,,"Record first-party company, technology, and street-address evidence."
Bugwolf,bugwolf.com,Adelaide,reachable_needs_primary_evidence,200,https://bugwolf.com,,"Record first-party company, technology, and street-address evidence."
Liven,liven.gg,Melbourne,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Doshii,doshii.com.au,Melbourne,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Biarri Networks,biarri.com,Melbourne,reachable_needs_primary_evidence,200,https://biarri.com,,"Record first-party company, technology, and street-address evidence."
Athena Home Loans,athenahomeloan.com.au,Sydney,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Spaceship,spaceship.com.au,Sydney,reachable_needs_primary_evidence,200,https://www.spaceship.com.au:443/,,"Record first-party company, technology, and street-address evidence."
Squiz,squiz.net,Sydney,reachable_needs_primary_evidence,403,https://squiz.net,HTTP 403,"Record first-party company, technology, and street-address evidence."
Coles Digital,colesgroup.com.au,Melbourne,reachable_needs_primary_evidence,200,https://www.colesgroup.com.au/home/,,"Record first-party company, technology, and street-address evidence."
Latent Space,latentspace.com.au,Sydney,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Tella,tella.tv,Melbourne,reachable_needs_primary_evidence,200,https://www.tella.com/,,"Record first-party company, technology, and street-address evidence."
Sighthound AU,sighthound.com,Melbourne,reachable_needs_primary_evidence,200,https://www.sighthound.com/,,"Record first-party company, technology, and street-address evidence."
Thinkmill,thinkmill.com.au,Sydney,reachable_needs_primary_evidence,200,https://www.thinkmill.com.au/,,"Record first-party company, technology, and street-address evidence."
Eliiza,eliiza.com,Melbourne,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Swoop Aero,swoop.aero,Melbourne,reachable_needs_primary_evidence,200,https://kite.aero/,,"Record first-party company, technology, and street-address evidence."
