"name","domain","careers_url","city","reason","confidence"
"Afterpay","afterpay.com","https://afterpay.com/careers","Melbourne","Global buy-now-pay-later (BNPL) and consumer payment fintech platform, Melbourne-founded with dedicated engineering and product teams","High"
"Betashares","betashares.com.au","https://www.betashares.com.au/careers","Sydney","Leading Australian ETF investment manager and financial technology wealth platform, Sydney HQ","High"
"OFX","ofx.com","https://www.ofx.com/careers","Sydney","Global digital cross-border payments, international currency transfer, and foreign exchange fintech, ASX-listed in Sydney","High"
"Athena Home Loans","athena.com.au","https://www.athena.com.au/careers","Sydney","Digital home loan and cloud mortgage fintech platform with automated approval software, Sydney HQ","High"
"Brighte","brighte.com.au","https://brighte.com.au/careers","Sydney","Clean energy financing platform and point-of-sale consumer finance software for residential solar and batteries, Sydney HQ","High"
"Shift","shift.com.au","https://www.shift.com.au/careers","Sydney","Business financial technology and data-driven credit underwriting platform for Australian SMEs, Sydney HQ","High"
"Novatti","novatti.com","https://novatti.com/careers","Melbourne","Digital banking, payments technology, and subscription billing software developer, ASX-listed in Melbourne","High"
"Cliniko","cliniko.com","https://www.cliniko.com/careers","Melbourne","Global practice management SaaS for allied healthcare clinics and medical practitioners, Melbourne HQ","High"
"Buildkite","buildkite.com","https://buildkite.com/careers","Melbourne","Enterprise continuous integration, continuous delivery (CI/CD), and software test automation platform, Australian-founded","High"
"Bugcrowd","bugcrowd.com","https://www.bugcrowd.com/about/careers","Sydney","Crowdsourced cybersecurity, bug bounty platform, and vulnerability disclosure SaaS, Sydney-founded","High"
"Lawpath","lawpath.com.au","https://lawpath.com.au/careers","Sydney","Online legal services platform, contract automation software, and corporate compliance SaaS, Sydney HQ","High"
"Timely","gettimely.com","https://www.gettimely.com/careers","Melbourne","Cloud appointment scheduling, client booking, and point-of-sale SaaS for beauty and wellness businesses","High"
"Practera","practera.com","https://practera.com/careers","Sydney","Experiential learning, project-based education technology, and workforce upskilling SaaS platform, Sydney HQ","High"
"ResMed","resmed.com.au","https://careers.resmed.com","Sydney","Global cloud-connected medical devices, digital health platforms, and out-of-hospital software solutions, Sydney HQ","High"
"Cochlear","cochlear.com","https://www.cochlear.com/careers","Sydney","Global implantable hearing devices, acoustic sound processor hardware, and clinical software solutions, Sydney HQ","High"
"Coviu","coviu.com","https://www.coviu.com/careers","Sydney","CSIRO-spinout enterprise telehealth, video consultation software, and clinical diagnostic platform, Sydney HQ","High"
"Vlepis","vlepis.com","https://vlepis.com/careers","Sydney","Aged-care digital transformation platform, Internet of Things (IoT) sensors, and assistive health monitoring software","High"
"Seer Medical","seermedical.com","https://www.seermedical.com/careers","Melbourne","Home epilepsy monitoring, clinical EEG diagnostics, and AI-driven neurological predictive software, Melbourne HQ","High"
"5B","5b.com.au","https://5b.com.au/careers","Sydney","Prefabricated, rapidly deployable solar array technology (Maverick) and clean energy hardware engineering, Sydney HQ","High"
"SunCable","suncable.sg","https://suncable.sg/careers","Sydney","Renewable solar energy generation, subsea HVDC power transmission infrastructure, and digital grid systems","High"
"Regrow Ag","regrow.ag","https://www.regrow.ag/careers","Brisbane","Agricultural resilience software, satellite remote sensing, and carbon MRV platform for global food supply chains","High"
"Loam Bio","loambio.com","https://www.loambio.com/careers","Orange","Microbial carbon capture biotechnology and agricultural carbon sequestration software, Orange regional HQ","High"
"Samsara Eco","samsaraeco.com","https://samsaraeco.com/careers","Canberra","Infinite enzymatic plastic recycling deeptech and biomanufacturing software platform, Canberra ACT HQ","High"
"Amber Electric","amber.com.au","https://www.amber.com.au/careers","Melbourne","Smart home energy automation software and real-time wholesale electricity retail technology, Melbourne HQ","High"
"Powerledger","powerledger.io","https://www.powerledger.io/careers","Perth","Blockchain-based decentralized energy trading, microgrid settlement, and carbon tracking software, Perth HQ","High"
"DroneShield","droneshield.com","https://www.droneshield.com/careers","Sydney","Artificial intelligence-based counter-drone detection, RF sensors, and electronic warfare deeptech hardware/software, Sydney HQ","High"
"Advanced Navigation","advancednavigation.com","https://www.advancednavigation.com/careers","Sydney","AI-based inertial navigation, subsea acoustic robotics, and sovereign autonomous systems deeptech, Sydney HQ","High"
"Electro Optic Systems","eos-aus.com","https://eos-aus.com/careers","Canberra","Space domain awareness, laser satellite tracking, optical space communications, and remote defence tech, Canberra HQ","High"
"Q-CTRL","q-ctrl.com","https://q-ctrl.com/careers","Sydney","Quantum infrastructure control software, quantum sensing hardware, and quantum algorithm optimization, Sydney HQ","High"
"UpGuard","upguard.com","https://www.upguard.com/careers","Sydney","Third-party cyber risk management, automated vendor security posture assessment, and attack surface detection SaaS, Sydney HQ","High"
"CyberCX","cybercx.com.au","https://cybercx.com.au/careers","Melbourne","Sovereign Australian cybersecurity consulting, managed security operations (SOC), and incident response services, Melbourne HQ","High"
"Red Piranha","redpiranha.net","https://redpiranha.net/careers","Perth","Crystal Eye extended detection and response (XDR), unified threat management (UTM), and cybersecurity hardware/software, Perth HQ","High"
"Cynch Security","cynch.com.au","https://cynch.com.au/careers","Melbourne","Continuous cyber fitness and risk management SaaS designed for small-to-medium businesses, Melbourne HQ","High"
"Secure Code Warrior","securecodewarrior.com","https://www.securecodewarrior.com/careers","Sydney","Developer-first agile security learning platform and contextual defensive coding simulation SaaS, Sydney HQ","High"
"RPMGlobal","rpmglobal.com","https://rpmglobal.com/careers","Brisbane","Enterprise mining software, life-of-mine planning, operational simulation, and financial modeling SaaS, Brisbane HQ","High"
"Sentient Computing","sentientcomputing.com.au","https://sentientcomputing.com.au/careers","Perth","3D virtual reality environments, digital twin simulation, and industrial training software for resources, Perth HQ","High"
"PEXA","pexa.com.au","https://www.pexa.com.au/careers","Melbourne","National digital property settlements platform, property exchange infrastructure, and title lodgement SaaS, Melbourne HQ","High"
"Equiem","myequiem.com","https://myequiem.com/careers","Melbourne","Commercial tenant experience software, smart building operations platform, and workplace engagement SaaS, Melbourne HQ","High"
"Snug","snug.com","https://snug.com/careers","Sydney","Rental application technology, automated tenant screening, and digital leasing workflow platform, Sydney HQ","High"
"Kogan.com","kogan.com","https://www.kogan.com/au/careers","Melbourne","E-commerce platform, digital retail technology, automated fulfillment, and consumer marketplace scale-up, Melbourne HQ","High"
"Temple & Webster","templeandwebster.com.au","https://www.templeandwebster.com.au/careers","Sydney","Online homewares and furniture retail platform with AI interior design visualization and supply chain logistics, Sydney HQ","High"
"Aginic","aginic.com","https://aginic.com/careers","Brisbane","Data analytics, cloud engineering, business intelligence, and artificial intelligence delivery consultancy, Brisbane HQ","High"
