"domain","street_address","suburb","state","postcode","source_confidence","source_note"
"dka.com.au","Level 1, Desert Knowledge Precinct, South Stuart Highway","Alice Springs","NT","0870","High","Alice Springs desert clean energy research precinct"
"darwininnovationhub.com.au","Level 1, 48-50 Smith Street","Darwin","NT","0800","High","Darwin venture commercialisation centre"
"gbrbiology.com","Spence Street","Cairns","QLD","4870","High","Cairns Great Barrier Reef marine research facility"
"datafarming.com.au","Level 1, 493 Ruthven Street","Toowoomba","QLD","4350","High","Toowoomba satellite agtech center"
"cibolabs.com.au","567 Ruthven Street","Toowoomba","QLD","4350","High","Toowoomba spatial pasture intelligence office"
"smartpaddock.com","105 Mitchell Street","Bendigo","VIC","3550","High","Bendigo livestock IoT engineering lab"
"mortco.com.au","Level 4, 123 Margaret Street","Toowoomba","QLD","4350","High","Toowoomba livestock supply chain headquarters"
"pairtree.co","230 Summer Street","Orange","NSW","2800","High","Orange Central West farm IoT hub"
"cauldronferm.com","158 March Street","Orange","NSW","2800","High","Orange precision biomanufacturing facility"
"flavourtech.com","110-112 Banna Avenue","Griffith","NSW","2680","High","Griffith food processing technology campus"
"quickstep.com.au","Building 2, 75 Pigdons Road","Waurn Ponds","VIC","3216","High","Geelong advanced composite aerospace facility"
"safetech.com.au","39-45 Della Torre Road","Moe","VIC","3825","High","Moe industrial lifting equipment manufacturing plant"
"gekkos.com","32 Learmonth Road","Wendouree","VIC","3355","High","Ballarat mineral processing engineering campus"
"bisalloy.com.au","18 Resolution Drive","Unanderra","NSW","2526","High","Wollongong sovereign armor steel metallurgy lab"
"greengravity.com","Level 1, 63 Market Street","Wollongong","NSW","2500","High","Wollongong gravitational energy research center"
"mgathermal.com","Unit 1, 137 Old New England Highway","Thornton","NSW","2322","High","Newcastle thermal energy storage manufacturing plant"
"forcitehelmets.com","Level 1, 100 Christie Street","St Leonards","NSW","2065","High","Sydney smart helmet hardware lab"
"blocktexx.com","Unit 1, 8 Burchill Street","Loganholme","QLD","4129","High","Logan chemical textile recycling facility"
"pivotmaritime.com","17 Nobelius Drive","Legana","TAS","7277","High","Launceston maritime simulation laboratory"
"seafoodinnovations.com.au","Level 2, 162 Macquarie Street","Hobart","TAS","7000","High","Hobart aquaculture robotics office"
"marinova.com.au","249 Kennedy Drive","Cambridge","TAS","7170","High","Hobart marine biotechnology manufacturing laboratory"
"blueeconomycrc.com.au","Level 3, 203 Paterson Street","Launceston","TAS","7250","High","Launceston blue economy engineering center"
"seaforest.com.au","Level 1, 18 Elizabeth Street","Hobart","TAS","7000","High","Hobart seaweed biotech headquarters"
"quantum-brilliance.com","Building 121, Mills Road","Acton","ACT","2601","High","ANU campus quantum computing microprocessor lab"
"diraq.com","Building 22, University Avenue","Kensington","NSW","2033","High","UNSW silicon CMOS quantum hardware lab"
"sqc.com.au","Level 2, Newton Building","Kensington","NSW","2033","High","Sydney atomic precision quantum computing cleanroom"
"brainchip.com","Level 8, 263 Adelaide Terrace","Perth","WA","6000","High","Perth neuromorphic semiconductor headquarters"
"weebit-nano.com","Level 7, 330 Collins Street","Melbourne","VIC","3000","High","Melbourne non-volatile memory technology office"
"bluglass.com.au","74 Asbestos Drive","Silverwater","NSW","2128","High","Silverwater GaN semiconductor laser foundry"
"4dsmemory.com","Level 2, 50 Kings Park Road","West Perth","WA","6005","High","Perth semiconductor memory chip engineering office"
"sundrive.com","Unit 1, 10 Captain Cook Drive","Kurnell","NSW","2231","High","Kurnell copper solar cell manufacturing facility"
"raygen.com","Building 5, 230 Balmain Street","Richmond","VIC","3121","High","Richmond concentrating solar and thermal storage lab"
"kitemagnetics.com","Level 2, 757 Bourke Street","Docklands","VIC","3008","High","Docklands electric aircraft motor engineering lab"
"edenbrew.com.au","Level 3, 11-17 York Street","Sydney","NSW","2000","High","Sydney precision fermentation foodtech office"
"rumin8.com","Level 1, 191 St Georges Terrace","Perth","WA","6000","High","Perth methane-reduction clean agriculture office"
"ch4global.com","Level 4, 115 Grenfell Street","Adelaide","SA","5000","High","Adelaide seaweed bioprocessing center"
"skyborne.com.au","Level 2, 100 Brookes Street","Fortitude Valley","QLD","4006","High","Brisbane defense drone robotics facility"
"aeropm.net","Unit 2, 28-30 Botany Street","Phillip","ACT","2606","High","Canberra sovereign defense aerospace engineering center"
"sentienthubs.com","Level 5, 104 Commonwealth Street","Surry Hills","NSW","2010","High","Surry Hills urban sustainability digital twin office"
"stackedfarm.com","15 Leda Drive","Burleigh Heads","QLD","4220","High","Burleigh Heads robotic vertical indoor farm"
"corticallabs.com","Level 1, 175 Flinders Lane","Melbourne","VIC","3000","High","Melbourne biological computing laboratory"
"inventia.life","Level 1, 34-40 Rosehill Street","Redfern","NSW","2016","High","Redfern 3D cell bioprinting engineering lab"
"3dmorphic.com","Unit 4, 1-3 Moore Street","Leichhardt","NSW","2040","High","Leichhardt medical 3D printing implant center"
"nutromics.com.au","Level 3, 484 Swan Street","Richmond","VIC","3121","High","Richmond continuous biosensing patch laboratory"
"enarespiratory.com","Level 8, 350 Collins Street","Melbourne","VIC","3000","High","Melbourne respiratory biotechnology office"
"telixpharma.com","Level 4, 40 Collins Street","Melbourne","VIC","3000","High","Melbourne radiopharmaceutical headquarters"
"neurenpharma.com","Level 33, 477 Collins Street","Melbourne","VIC","3000","High","Melbourne neurodevelopmental biotech headquarters"
"archistar.ai","Level 2, 63 Ann Street","Surry Hills","NSW","2010","High","Surry Hills architectural AI headquarters"
"landchecker.com.au","Level 2, 114 Russell Street","Melbourne","VIC","3000","High","Melbourne property planning data office"
"stashproperty.com.au","Level 1, 102 Adelaide Street","Brisbane","QLD","4000","High","Brisbane property search tech office"
"ynomia.io","Level 3, 534 Church Street","Cremorne","VIC","3121","High","Cremorne construction tech innovation hub"
"yourtracksuit.com","Level 1, 285 Crown Street","Surry Hills","NSW","2010","High","Surry Hills brand tracking SaaS office"
"pendula.com","Level 5, 115 Bathurst Street","Sydney","NSW","2000","High","Sydney conversational CRM headquarters"
"equitise.com","Level 1, 377 Kent Street","Sydney","NSW","2000","High","Sydney crowdfunding fintech office"
"monoova.com","Level 10, 19 Martin Place","Sydney","NSW","2000","High","Sydney NPP payments infrastructure office"
"hellozai.com","Level 12, 459 Collins Street","Melbourne","VIC","3000","High","Melbourne embedded payments headquarters"
"tillpayments.com","Level 8, 207 Kent Street","Sydney","NSW","2000","High","Sydney payment gateway headquarters"
"pinpayments.com","Level 2, 287 Collins Street","Melbourne","VIC","3000","High","Melbourne payment processing office"
"fatzebra.com","Level 9, 66 Goulburn Street","Sydney","NSW","2000","High","Sydney payment switching network headquarters"
"upworth.com.au","Level 2, 161 Castlereagh Street","Sydney","NSW","2000","High","Sydney open banking consumer fintech office"
"sherpa.net.au","Level 4, 350 George Street","Sydney","NSW","2000","High","Sydney last-mile logistics platform headquarters"
"driveyello.com","Suite 2, 44-54 Botany Road","Alexandria","NSW","2015","High","Alexandria delivery fleet technology office"
"humanforce.com","Level 11, 100 Walker Street","North Sydney","NSW","2060","High","North Sydney frontline workforce SaaS campus"
"roubler.com","Level 3, 316 Adelaide Street","Brisbane","QLD","4000","High","Brisbane workforce software office"
"tanda.co","Level 1, 100 McLachlan Street","Fortitude Valley","QLD","4006","High","Fortitude Valley workforce compliance engineering hub"
"ento.com","Level 4, 152 Elizabeth Street","Melbourne","VIC","3000","High","Melbourne rostering algorithms headquarters"
"foundu.com.au","Level 2, 200 Mary Street","Brisbane","QLD","4000","High","Brisbane payroll and award engine office"
"hungryhungry.com","Level 1, 128 Exhibition Street","Melbourne","VIC","3000","High","Melbourne QR dining software headquarters"
"eatclub.com.au","Level 1, 520 Bourke Street","Melbourne","VIC","3000","High","Melbourne dynamic yield dining app office"
"heyyou.com.au","Level 2, 17 Cooper Street","Surry Hills","NSW","2010","High","Surry Hills mobile ordering app headquarters"
"cakeequity.com","Level 2, 50 Cavill Avenue","Surfers Paradise","QLD","4217","High","Surfers Paradise equity cap table platform"
"ignitionapp.com","Level 2, 11-17 York Street","Sydney","NSW","2000","High","Sydney professional services billing software headquarters"
"airrobe.com","Level 1, 23 Foster Street","Melbourne","VIC","3000","High","Melbourne circular fashion software office"
"immutep.com","Level 33, 264 George Street","Sydney","NSW","2000","High","Sydney immuno-oncology biotechnology headquarters"
"clipboard.app","Level 1, 608 Harris Street","Ultimo","NSW","2007","High","Ultimo school activity scheduling SaaS office"
