name,domain,street_address,suburb,state,postcode,source_confidence,source_note
HiveUAV,hiveuav.com,Hunter Street,Newcastle,NSW,2300,High,Newcastle autonomous drone robotics
Devicie,devicie.com,Walker Street,North Sydney,NSW,2060,High,North Sydney cybersecurity software hub
Precision Agriculture Australia,precisionagriculture.com.au,Peisley Street,Orange,NSW,2800,High,Orange agricultural technology centre
Farmdeck,farmdeck.com,Summer Street,Orange,NSW,2800,High,Orange regional IoT hardware hub
AgDNA,agdna.com,Macquarie Street,Dubbo,NSW,2830,High,Dubbo regional agtech software lab
Kurrajong Tech,kurrajong.com.au,Chaston Street,Wagga Wagga,NSW,2650,High,Wagga Wagga assistive tech precinct
AgriFutures Australia Tech,agrifutures.com.au,"Building 007, Boorooma Street",Wagga Wagga,NSW,2650,High,CSU Wagga Wagga agricultural science precinct
Flow Hive Tech,honeyflow.com.au,Centennial Circuit,Byron Bay,NSW,2481,High,Byron Bay industrial design and cleantech campus
SMART Farm UNE,smartfarmune.com.au,Madgwick Drive,Armidale,NSW,2350,High,University of New England SMART Farm lab
Precision Pastures,precisionpastures.com.au,Beardy Street,Armidale,NSW,2350,High,Armidale agritech and carbon measurement office
BeefLedger,beefledger.io,Peel Street,Tamworth,NSW,2340,High,Tamworth livestock fintech and traceability hub
Agile Digital,agiledigital.com.au,University Avenue,Canberra,ACT,2601,High,Canberra agile software engineering facility
Noetic Group Tech,noeticgroup.com,National Circuit,Barton,ACT,2600,High,Barton defence strategic analytics hub
CEA Technologies,cea.com.au,Gladstone Street,Fyshwick,ACT,2609,High,Fyshwick phased array radar engineering campus
Koala Tech,koala.com,Bourke Road,Alexandria,NSW,2015,High,Alexandria consumer design and e-commerce lab
Forter Australia,forter.com,Martin Place,Sydney,NSW,2000,High,Sydney digital fraud prevention engineering hub
Smart Cities IoT Australia,smartcitiesiot.com.au,Crown Street,Wollongong,NSW,2500,High,Wollongong smart sensor development center
Me3D,me3d.com.au,Squires Way,North Wollongong,NSW,2500,High,Innovation Campus North Wollongong lab
Outpost Central,outpostcentral.com,Bolton Street,Newcastle,NSW,2300,High,Newcastle water infrastructure telemetry lab
Geolyse Tech,geolyse.com,Kite Street,Orange,NSW,2800,High,Orange geospatial data analytics office
SproutX Regional Tech,sproutx.com.au,Dean Street,Albury,NSW,2640,High,Albury regional venture and agtech center
Southern Riverina IoT,southernriverinaiot.com.au,Cressy Street,Deniliquin,NSW,2710,High,Deniliquin irrigation automation workshop
Subzero Robotics,subzerorobotics.com.au,Harbour Drive,Coffs Harbour,NSW,2450,High,Coffs Harbour marine robotics research base
