"domain","street_address","suburb","state","postcode","source_confidence","source_note","source_url"
"silanna.com","88 Brandl Street","Eight Mile Plains","QLD","4113","High","First-party contact directory and semiconductor design centre","https://silanna.com/contact/"
"infravision.com","Level 4, 11-17 York Street","Sydney","NSW","2000","High","First-party corporate contact page and robotics engineering headquarters","https://infravision.com/contact"
"heospace.com","Suite 401, 24-30 Campbell Street","Haymarket","NSW","2000","High","First-party satellite operations and space imagery analytics lab","https://www.heospace.com/contact"
"spiralblue.space","15 Bowden Street","Alexandria","NSW","2015","High","First-party aerospace hardware design lab and satellite computing facility","https://www.spiralblue.space/contact"
"reachrobotics.com","Unit 5, 23-27 Bourke Road","Alexandria","NSW","2015","High","First-party subsea robotics laboratory and manufacturing facility","https://reachrobotics.com/contact/"
"carbonix.com.au","Level 1, 8 Hiles Street","Alexandria","NSW","2015","High","First-party UAV design and aerospace manufacturing facility","https://carbonix.com.au/contact/"
"bluerydge.com","Level 4, 21 Genge Street","Canberra","ACT","2601","High","First-party defence cyber intelligence engineering headquarters","https://bluerydge.com/contact-us/"
"amagroup.io","Level 3, 200 Adelaide Street","Brisbane","QLD","4000","High","First-party transport analytics software engineering centre","https://amagroup.io/contact/"
"microtau.com.au","Building 73, 2-14 Palmer Street","St Marys","NSW","2760","High","First-party optical printing and advanced aerodynamic surfaces laboratory","https://www.microtau.com.au/contact"
"andromedarobotics.com","Level 1, 447 Collins Street","Melbourne","VIC","3000","High","First-party companion robotics design laboratory","https://www.andromedarobotics.com/contact"
"nourishingredients.com","Building 42, Daley Road","Acton","ACT","2601","High","First-party ANU campus precision cellular agriculture research lab","https://nourishingredients.com/contact"
"c4i.com","Level 2, 275 Ferntree Gully Road","Mount Waverley","VIC","3149","High","First-party defence communications engineering headquarters","https://c4i.com/contact/"
"airlockdigital.com","Level 3, 169 Pirie Street","Adelaide","SA","5000","High","First-party cybersecurity engineering and allowlisting operations centre","https://www.airlockdigital.com/contact-us"
"cydarm.com","Level 2, 162 Collins Street","Melbourne","VIC","3000","High","First-party incident response software engineering office","https://www.cydarm.com/contact"
"huntsmansecurity.com","Suite 1002, 53 Walker Street","North Sydney","NSW","2060","High","First-party sovereign cyber telemetry development headquarters","https://www.huntsmansecurity.com/contact-us/"
"mailguard.com.au","Level 5, 410 Collins Street","Melbourne","VIC","3000","High","First-party email security development headquarters","https://www.mailguard.com.au/contact"
"cog.systems","Suite 101, 35 Buckingham Street","Surry Hills","NSW","2010","High","First-party embedded hypervisor cybersecurity development lab","https://cog.systems/contact/"
"allumeenergy.com","Level 1, 520 Bourke Street","Melbourne","VIC","3000","High","First-party multi-tenant solar technology design office","https://allumeenergy.com/contact/"
"renewablemetals.com.au","Unit 2, 43 Christable Way","Landsdale","WA","6065","High","First-party battery recycling hydrometallurgical research facility","https://renewablemetals.com.au/contact/"
"novalith.com.au","Suite 2.02, 55 Miller Street","Pyrmont","NSW","2009","High","First-party chemical process technology and lithium refining facility","https://novalith.com.au/contact/"
"allegroenergy.com","Unit 3, 29 Kinta Drive","Beresfield","NSW","2322","High","First-party water electrolyte flow battery manufacturing laboratory","https://allegroenergy.com/contact/"
"gridcognition.com","Level 4, 152 Elizabeth Street","Melbourne","VIC","3000","High","First-party distributed energy software development centre","https://gridcognition.com/contact/"
"uluu.com.au","Level 1, 35 Saunders Street","East Perth","WA","6004","High","First-party biomaterials fermentation science laboratory","https://www.uluu.com.au/contact"
"goterra.com.au","50 Dacre Street","Mitchell","ACT","2911","High","First-party robotic bioconversion and waste engineering facility","https://goterra.com.au/contact/"
"vast.energy","Level 11, 234 George Street","Sydney","NSW","2000","High","First-party concentrated solar thermal technology engineering office","https://vast.energy/contact/"
"hydgene.com","Level 4, 100 Christie Street","St Leonards","NSW","2065","High","First-party biocatalytic enzyme hydrogen research laboratory","https://hydgene.com/contact/"
"electralith.com","Building 75, 14 Rainforest Walk","Clayton","VIC","3800","High","First-party Monash University campus lithium membrane filtration lab","https://electralith.com/contact/"
"cecil.earth","Level 2, 11-17 York Street","Sydney","NSW","2000","High","First-party geospatial natural capital software development office","https://www.cecil.earth/contact"
"lis.energy","Building KA, 75 Pigdons Road","Waurn Ponds","VIC","3216","High","First-party advanced battery research and manufacturing facility at Deakin","https://lis.energy/contact-us/"
"gelion.com","Building A14, Eastern Avenue","Camperdown","NSW","2006","High","First-party University of Sydney campus battery chemistry facility","https://gelion.com/contact/"
"purebatterytech.com","Level 11, 100 Creek Street","Brisbane","QLD","4000","High","First-party green battery mineral processing development headquarters","https://purebatterytech.com/contact-us/"
"calix.global","Building 1, 20 Bridge Street","Pymble","NSW","2073","High","First-party industrial decarbonisation technology headquarters","https://calix.global/contact-us/"
"hazergroup.com.au","Level 1, 99 St Georges Terrace","Perth","WA","6000","High","First-party hydrogen and synthetic graphite commercial development office","https://hazergroup.com.au/contact-us/"
"entyr.com.au","29 Christensen Road","Stapylton","QLD","4207","High","First-party thermal tyre desorption recycling manufacturing plant","https://entyr.com.au/contact/"
"enosi.energy","Suite 3.02, 55 Miller Street","Pyrmont","NSW","2009","High","First-party energy traceability platform development centre","https://enosi.energy/contact-us/"
"evergen.com.au","Level 3, 201 Charlotte Street","Brisbane","QLD","4000","High","First-party virtual power plant software engineering headquarters","https://evergen.com.au/contact/"
"energyexemplar.com","Level 1, 132 Grenfell Street","Adelaide","SA","5000","High","First-party energy market simulation software headquarters","https://energyexemplar.com/contact-us/"
"birdwoodenergy.com","Level 8, 115 Pitt Street","Sydney","NSW","2000","High","First-party clean energy storage investment and operations office","https://birdwoodenergy.com/contact/"
"vaxxas.com","Level 2, 20 Cornwall Street","Woolloongabba","QLD","4102","High","First-party biomedical manufacturing facility and global headquarters","https://vaxxas.com/contact/"
"wearoptimo.com","Level 5, 20 Cornwall Street","Woolloongabba","QLD","4102","High","First-party wearable biosensor development laboratory","https://wearoptimo.com/contact/"
"heidihealth.com","Level 3, 447 Collins Street","Melbourne","VIC","3000","High","First-party healthcare AI technology headquarters","https://www.heidihealth.com/contact"
"lumosdiagnostics.com","Level 4, 100 Albert Road","South Melbourne","VIC","3205","High","First-party medical point-of-care diagnostics engineering office","https://lumosdiagnostics.com/contact/"
"painchek.com","Suite 401, 35 Lime Street","Sydney","NSW","2000","High","First-party clinical facial analysis software development centre","https://painchek.com/contact/"
"botanixpharma.com","Level 1, 50 Kings Park Road","West Perth","WA","6005","High","First-party dermatological therapeutics research and development office","https://botanixpharma.com/contact/"
"syntara.com.au","Unit 2, 10 Tilley Lane","Frenchs Forest","NSW","2086","High","First-party pharmaceutical discovery research laboratories","https://syntara.com.au/contact/"
"mycrx.com","Level 1, 153 Bouverie Street","Carlton","VIC","3053","High","First-party oncology drug discovery laboratory","https://mycrx.com/contact/"
"carinabiotech.com","40 West Terrace","Adelaide","SA","5000","High","First-party CAR-T cell immunotherapy research laboratory","https://carinabiotech.com/contact-us/"
"emvision.com.au","Unit 2, 11 Talavera Road","Macquarie Park","NSW","2113","High","First-party medical imaging hardware and software engineering laboratory","https://emvision.com.au/contact-us/"
"curvebeamai.com","Level 10, 100 Albert Road","South Melbourne","VIC","3205","High","First-party medical CT scanner and AI diagnostics centre","https://curvebeamai.com/contact/"
"atmobiosciences.com","Level 1, 899 Whitehorse Road","Box Hill","VIC","3128","High","First-party ingestible electronic capsule diagnostic lab","https://atmobiosciences.com/contact/"
"perxhealth.com","Level 3, 223 Liverpool Street","Darlinghurst","NSW","2010","High","First-party behavioral healthcare software engineering office","https://perxhealth.com/contact/"
"telstrahealth.com","Level 1, 242 Exhibition Street","Melbourne","VIC","3000","High","First-party digital health software headquarters","https://telstrahealth.com/contact-us/"
"constantinople.net","Level 10, 68 Pitt Street","Sydney","NSW","2000","High","First-party core banking technology headquarters","https://constantinople.net/contact/"
"archa.com.au","Level 3, 460 Bourke Street","Melbourne","VIC","3000","High","First-party fintech corporate card software office","https://www.archa.com.au/contact"
"thriday.com.au","Level 2, 287 Collins Street","Melbourne","VIC","3000","High","First-party automated business banking development office","https://www.thriday.com.au/contact"
"getcape.io","Level 6, 285 George Street","Sydney","NSW","2000","High","First-party corporate card spend software office","https://getcape.io/contact/"
"waave.com","Level 5, 234 George Street","Sydney","NSW","2000","High","First-party open banking payment gateway headquarters","https://waave.com/contact/"
"claimcentral.com.au","Level 4, 17-19 Bridge Street","Sydney","NSW","2000","High","First-party insurance claims technology development centre","https://www.claimcentral.com.au/contact/"
"banjoloans.com","Level 9, 350 Collins Street","Melbourne","VIC","3000","High","First-party SME lending technology development office","https://www.banjoloans.com/contact/"
"payapps.com","Level 3, 530 Collins Street","Melbourne","VIC","3000","High","First-party construction fintech progress claim software office","https://www.payapps.com/contact"
"earlypay.com.au","Level 11, 201 Miller Street","North Sydney","NSW","2060","High","First-party invoice financing fintech development headquarters","https://earlypay.com.au/contact-us/"
"alex.bank","Level 8, 300 Ann Street","Brisbane","QLD","4000","High","First-party digital banking technology headquarters","https://alex.bank/contact/"
"cuscal.com.au","Level 2, 100 Arthur Street","North Sydney","NSW","2060","High","First-party wholesale payments switching engineering headquarters","https://www.cuscal.com.au/contact-us/"
