"name","domain","careers_url","city","reason","confidence"
"DUG Technology","dug.com","https://dug.com/careers","Perth","High-performance computing (HPC) software, cloud geoscience algorithms, and seismic processing, ASX-listed in Perth","High"
"Chironix","chironix.com","https://chironix.com/careers","Perth","Autonomous mobile robotics, teleoperation software, and hazardous environment automation, Perth HQ","High"
"Nexxis","nexxis.com","https://nexxis.com/careers","Perth","Custom robotic crawler inspection hardware, non-destructive testing (NDT), and remote visual inspection software, Perth HQ","High"
"Track'em","trackem.com.au","https://trackem.com.au/careers","Perth","Enterprise asset tracking, GPS/barcode/RFID equipment management SaaS for resources and construction, Perth HQ","High"
"Appbot","appbot.co","https://appbot.co/careers","Perth","Natural language app review analysis, customer feedback sentiment SaaS, and developer analytics, Perth HQ","High"
"Rent.com.au","rent.com.au","https://www.rent.com.au/careers","Perth","Dedicated tenant rental marketplace, RentBond automated payment technology, and tenant resume software, ASX-listed in Perth","High"
"Fastbrick Robotics","fbr.com.au","https://www.fbr.com.au/careers","Perth","Hadrian X robotic mobile construction automation, 3D computer-aided bricklaying, and dynamic stabilization technology, ASX-listed","High"
"Orbital UAV","orbitaluav.com","https://orbitaluav.com/careers","Perth","Tactical unmanned aerial vehicle (UAV) heavy-fuel propulsion systems, flight engine avionics, and autonomous aerospace sensors, ASX-listed","High"
"Agworld","agworld.com","https://www.agworld.com/careers","Perth","Collaborative digital agronomy, farm management software, and precision agricultural data SaaS, Perth HQ","High"
"Chrysos Corporation","chrysoscorp.com","https://chrysoscorp.com/careers","Adelaide","CSIRO-spinout PhotonAssay non-destructive nuclear mineral analysis hardware and cloud analytics, Adelaide HQ","High"
"Inovor Technologies","inovor.com.au","https://www.inovor.com.au/careers","Adelaide","Nanosatellite and small-satellite design, electronic payload manufacturing, and sovereign space systems, Lot Fourteen Adelaide HQ","High"
"Micro-X","micro-x.com","https://micro-x.com/careers","Adelaide","Cold cathode carbon nanotube miniature X-ray hardware and airport checkpoint screening software, Tonsley Adelaide HQ","High"
"Neumann Space","neumannspace.com","https://neumannspace.com/careers","Adelaide","Solid metallic spacecraft electric propulsion thrusters and in-space mobility software, Lot Fourteen Adelaide HQ","High"
"QuantX Labs","quantxlabs.com","https://www.quantxlabs.com/careers","Adelaide","Sapphire optical atomic clocks, quantum precision timing, and sovereign navigation hardware/software, Lot Fourteen Adelaide HQ","High"
"LBT Innovations","lbtinnovations.com","https://lbtinnovations.com/careers","Adelaide","Artificial intelligence-driven clinical microbiology culture plate analysis and automated diagnostic imaging, Adelaide HQ","High"
"Seeley International","seeleyinternational.com","https://www.seeleyinternational.com/careers","Adelaide","Smart climate control software, HVAC automation systems, and high-efficiency evaporative cooling hardware, Adelaide HQ","High"
"DTEX Systems","dtexsystems.com","https://www.dtexsystems.com/careers","Adelaide","Workforce cybersecurity intelligence, insider risk behavioral analytics, and digital forensics AI, Adelaide engineering HQ","High"
"Personify Care","personifycare.com","https://personifycare.com/careers","Adelaide","Clinical digital patient pathways, automated pre-admission screening, and mobile patient recovery SaaS, Lot Fourteen Adelaide HQ","High"
"Redflow","redflow.com","https://redflow.com/careers","Brisbane","Zinc-bromine flow batteries and smart commercial energy storage management software, Brisbane HQ","High"
"Valiant Space","valiantspace.com","https://valiantspace.com/careers","Brisbane","Non-toxic chemical satellite propulsion hardware, reaction control systems, and in-orbit software, Brisbane HQ","High"
"Hypersonix Launch Systems","hypersonix.com","https://hypersonix.com/careers","Brisbane","Green hydrogen-powered scramjet space launch systems, hypersonic aircraft aerodynamics, and avionics software, Brisbane HQ","High"
"Black Sky Aerospace","bsaero.com.au","https://bsaero.com.au/careers","Logan","Sovereign solid rocket propellant manufacturing, suborbital launch vehicles, and telemetry avionics, Logan QLD HQ","High"
"FloodMapp","floodmapp.com","https://floodmapp.com/careers","Brisbane","Real-time predictive flood analytics, rapid hydraulic digital twin simulation, and emergency intelligence SaaS, Brisbane HQ","High"
"Vayeron","vayeron.com","https://vayeron.com/careers","Mackay","SmartRoller industrial conveyor IoT sensors, condition monitoring hardware, and predictive maintenance SaaS, Mackay regional QLD HQ","High"
