"domain","street_address","suburb","state","postcode","source_confidence","source_note"
"afterpay.com","Level 8, 287 Collins Street","Melbourne","VIC","3000","High","Melbourne corporate headquarters and engineering campus"
"betashares.com.au","Level 11, 50 Margaret Street","Sydney","NSW","2000","High","Sydney global headquarters and fintech hub"
"ofx.com","Level 19, 60 Margaret Street","Sydney","NSW","2000","High","ASX-listed global headquarters & tech center"
"athena.com.au","Level 3, 21-23 Kenneth Road","Manly Vale","NSW","2093","High","Sydney headquarters & engineering office"
"brighte.com.au","Level 9, 477 Pitt Street","Haymarket","NSW","2000","High","Sydney corporate headquarters"
"shift.com.au","Level 27, 259 George Street","Sydney","NSW","2000","High","Sydney headquarters & development hub"
"novatti.com","Level 3, 461 Bourke Street","Melbourne","VIC","3000","High","ASX-listed corporate headquarters & product office"
"cliniko.com","Level 2, 43 Hardware Lane","Melbourne","VIC","3000","High","Melbourne global headquarters & design studio"
"buildkite.com","Level 2, 287 Collins Street","Melbourne","VIC","3000","High","Australian engineering hub"
"bugcrowd.com","Level 13, 333 George Street","Sydney","NSW","2000","High","Australian development and operations office"
"lawpath.com.au","Level 1, 6-8 Hunt Street","Surry Hills","NSW","2010","High","Surry Hills headquarters & engineering center"
"gettimely.com","Level 1, 168 Greville Street","Prahran","VIC","3181","High","Australian headquarters & product studio"
"practera.com","Level 2, 11-17 York Street","Sydney","NSW","2000","High","Sydney headquarters & edtech laboratory"
"resmed.com.au","1 Elizabeth Macarthur Drive","Bella Vista","NSW","2153","High","Global technology campus & innovation centre"
"cochlear.com","1 University Avenue","Macquarie University","NSW","2109","High","Global headquarters & hearing research campus"
"coviu.com","Level 4, 152 Elizabeth Street","Sydney","NSW","2000","High","Sydney corporate headquarters & product lab"
"vlepis.com","Suite 3.02, 55 Miller Street","Pyrmont","NSW","2009","High","Sydney headquarters and IoT operations lab"
"seermedical.com","132 Gwynne Street","Cremorne","VIC","3121","High","Cremorne digital health & engineering campus"
"5b.com.au","107-109 Stephen Road","Botany","NSW","2019","High","Botany clean energy engineering facility & HQ"
"suncable.sg","Level 31, 20 Bond Street","Sydney","NSW","2000","High","Sydney corporate office & project engineering hub"
"regrow.ag","Level 6, 200 Adelaide Street","Brisbane","QLD","4000","High","Brisbane technical center & research office"
"loambio.com","84 Dalton Street","Orange","NSW","2800","High","Regional NSW headquarters & biotechnology lab"
"samsaraeco.com","Building 106, Daley Road","Acton","ACT","2601","High","Canberra ANU campus laboratory & corporate HQ"
"amber.com.au","Level 3, 287 Collins Street","Melbourne","VIC","3000","High","Melbourne corporate headquarters & dev center"
"powerledger.io","Level 1, 108 St Georges Terrace","Perth","WA","6000","High","Perth headquarters & blockchain engineering lab"
"droneshield.com","Level 5, 126 Phillip Street","Sydney","NSW","2000","High","ASX-listed global headquarters & hardware/AI lab"
"advancednavigation.com","Level 12, 255 George Street","Sydney","NSW","2000","High","Sydney global headquarters & robotics engineering"
"eos-aus.com","18 Wormald Street","Symonston","ACT","2609","High","ASX-listed defense & space engineering campus"
"q-ctrl.com","Level 6, 179 Elizabeth Street","Sydney","NSW","2000","High","Sydney global headquarters & quantum lab"
"upguard.com","Level 35, 100 Miller Street","North Sydney","NSW","2060","High","North Sydney corporate office & engineering lab"
"cybercx.com.au","Level 15, 595 Collins Street","Melbourne","VIC","3000","High","Melbourne corporate headquarters & security operations"
"redpiranha.net","Level 10, 191 St Georges Terrace","Perth","WA","6000","High","Perth headquarters & threat intelligence center"
"cynch.com.au","Level 1, 41 Stewart Street","Richmond","VIC","3121","High","Richmond technology studio & headquarters"
"securecodewarrior.com","Level 11, 66 Clarence Street","Sydney","NSW","2000","High","Sydney development studio & global HQ"
"rpmglobal.com","Level 2, 295 Ann Street","Brisbane","QLD","4000","High","ASX-listed corporate headquarters & dev center"
"sentientcomputing.com.au","Level 2, 100 Stirling Highway","North Fremantle","WA","6159","High","Fremantle digital twin lab & corporate HQ"
"pexa.com.au","Level 16, 727 Collins Street","Docklands","VIC","3008","High","ASX-listed national exchange headquarters"
"myequiem.com","Level 2, 45 Exhibition Street","Melbourne","VIC","3000","High","Melbourne corporate headquarters & engineering team"
"snug.com","Level 2, 383 George Street","Sydney","NSW","2000","High","Sydney headquarters & product hub"
"kogan.com","207 Ferrars Street","South Melbourne","VIC","3205","High","ASX-listed technology headquarters & operations"
"templeandwebster.com.au","1A, 1-7 Dunning Avenue","Rosebery","NSW","2018","High","ASX-listed headquarters & tech campus"
"aginic.com","Level 1, 100 Creek Street","Brisbane","QLD","4000","High","Brisbane corporate headquarters & data studio"
"deswik.com","Level 5, 100 Market Street","Brisbane","QLD","4000","High","Global development center & headquarters"
"tritiumcharging.com","48 Miller Street","Murarrie","QLD","4172","High","Brisbane innovation center & global R&D lab"
"bravurasolutions.com","Level 6, 345 George Street","Sydney","NSW","2000","High","ASX-listed corporate headquarters & tech center"
"definitiv.com.au","Level 2, 182 St Georges Terrace","Perth","WA","6000","High","Perth headquarters & payroll engineering center"
"agronomeye.com.au","Suite 201, 10-14 Market Street","Sydney","NSW","2000","High","Sydney headquarters & remote sensing lab"
"openlearning.com","Level 2, 235 Clarence Street","Sydney","NSW","2000","High","ASX-listed corporate headquarters & edtech studio"
"edrolo.com.au","Level 5, 276 Flinders Street","Melbourne","VIC","3000","High","Melbourne corporate headquarters & education team"
"proptechgroup.io","Level 7, 333 Collins Street","Melbourne","VIC","3000","High","Melbourne corporate office & software hub"
